Status,Name,Adv,Date,Contents
Tropical Depression,One,1,1998-07-27T15:00:00Z,"ZCZC MIATCDAT1 ALL
TTAA00 KNHC DDHHMM
TROPICAL DEPRESSION ONE DISCUSSION NUMBER   1
NATIONAL WEATHER SERVICE MIAMI FL
11 AM EDT MON JUL 27 1998

SHIP REPORTS AND SATELLITE IMAGERY INCLUDING SCATTEROMETER WINDS
INDICATE THAT THE SYSTEM JUST OFF THE COAST OF AFRICA HAS A WELL-
DEFINED SURFACE CIRCULATION AND WE ARE IDENTIFYING IT AS TROPICAL
DEPRESSION NUMBER ONE.

TRACKING OVER THE PAST 12 HOURS GIVES A MOTION OF 280/24.  THE 00Z
AVIATION MODEL RUN SHOWS STEERING CURRENTS MUCH WEAKER THAN 24 KNOTS
SO THE INITIAL MOTION ESTIMATE IS REDUCED TO 280/20.  THE TRACK
GUIDANCE MODELS INDICATE LITTLE CHANGE IN MOTION OVER THE NEXT 72
HOURS AND THE OFFICIAL FORECAST GOES ALONG WITH THIS.

THERE WERE THREE SHIPS AT 06Z IN THIS SYSTEM SHOWING A CLOSED
CIRCULATION OF ABOUT 15 KNOTS.  HOWEVER THERE IS A FAIR AMOUNT OF
DEEP CONVECTION AND THE INITIAL WIND SPEED IS ESTIMATED AT 25 KNOTS.

THE SHIPS STATISTICAL-DYNAMICAL INTENSITY MODEL SHOWS THAT
CONDITIONS APPEAR FAVORABLE FOR SLOW STRENGTHENING...SSTS ARE PLENTY
WARM AND THERE IS LITTLE VERTICAL SHEAR TO INHIBIT DEVELOPMENT.

LAWRENCE 
 
FORECAST POSITIONS AND MAX WINDS
 
INITIAL     27/1500Z 11.5N  27.0W    25 KTS
12HR VT     28/0000Z 12.0N  29.9W    30 KTS
24HR VT     28/1200Z 12.8N  33.9W    35 KTS
36HR VT     29/0000Z 13.1N  36.9W    40 KTS
48HR VT     29/1200Z 13.5N  40.0W    45 KTS
72HR VT     30/1200Z 14.0N  47.0W    55 KTS
 
 
NNNN
"
Tropical Depression,One,2,1998-07-27T21:00:00Z,"ZCZC MIATCDAT1 ALL
TTAA00 KNHC DDHHMM
TROPICAL DEPRESSION ONE DISCUSSION NUMBER   2
NATIONAL WEATHER SERVICE MIAMI FL
5 PM EDT MON JUL 27 1998
 
INFRARED SATELLITE IMAGERY OVER THE LAST 6 HOURS SHOWS THAT WHILE
THE LOW LEVEL CENTER REMAINS FAIRLY WELL-DEFINED...CONVECTION HAS
DIMINISHED AROUND THE CENTER.  THUS...THE INTENSITY WILL BE
MAINTAINED AT 25 KNOTS FOR THIS ADVISORY.  THE OVERALL ORGANIZATION
OF THE SYSTEM IS RATHER IMPRESSIVE WITH GOOD OUTFLOW ESTABLISHED
OVER THE WESTERN SEMICIRCLE.  THE INTENSITY FORECAST IS SIMILAR TO
THE PREVIOUS...AND CALLS FOR SOME GRADUAL STRENGTHENING THROUGH THE
PERIOD.  THIS IS CONSISTENT WITH THE SHIPS STATISTICAL-DYNAMICAL
INTENSITY MODEL. 

RECENT SATELLITE FIXES PLACE THE CENTER A BIT FURTHER NORTHWARD... 
AND THE INITIAL MOTION ESTIMATE IS 285/18 KNOTS.  A MID-LEVEL
RIDGE NORTH OF THE SYSTEM SHOULD KEEP IT ON A GENERAL WEST-NORTHWEST
TRACK THROUGH ABOUT 48 HOURS.  THEREAFTER...THE AVIATION MODEL
BRINGS A MID- TO UPPER-LEVEL TROF/LOW SOUTHWESTWARD TO NEAR 40W.    
THE OFFICIAL TRACK FORECAST SHOWS A GRADUAL DECELERATION DUE TO 
THIS FEATURE. 

GUINEY/LAWRENCE
 
FORECAST POSITIONS AND MAX WINDS
 
INITIAL     27/2100Z 12.2N  27.9W    25 KTS
12HR VT     28/0600Z 12.8N  30.6W    30 KTS
24HR VT     28/1800Z 13.6N  33.9W    35 KTS
36HR VT     29/0600Z 14.4N  36.9W    40 KTS
48HR VT     29/1800Z 15.0N  40.0W    45 KTS
72HR VT     30/1800Z 16.5N  47.0W    55 KTS
 
 
NNNN
"
Tropical Depression,One,3,1998-07-28T03:00:00Z,"ZCZC MIATCDAT1 ALL
TTAA00 KNHC DDHHMM
TROPICAL DEPRESSION ONE DISCUSSION NUMBER   3
NATIONAL WEATHER SERVICE MIAMI FL
11 PM EDT MON JUL 27 1998

THE TROPICAL DEPRESSION HAS A LARGE BUT ELONGATED ENVELOPE AND IT
LACKS OF DEEP CONVECTION NEAR THE CENTER.  SINCE THE DEPRESSION IS
OVER WARM WATERS...THE OUTFLOW IS WELL ESTABLISHED AND HAS SUCH A
LARGE ENVELOPE...I HAVE NO CHOICE BUT...TO FORECAST STRENGTHENING.  
HOWEVER... SINCE THE GFDL DISSIPATES THE SYSTEM IN 12 HOURS AND
SHIPS MODEL BRINGS THE SYSTEM TO 49 KNOTS...ONLY A SLOW
STRENGTHENING IS INDICATED IN THE OFFICIAL FORECAST. 

THE LOW-LEVEL CENTER IS DIFFICULT TO LOCATE ON IR IMAGES AND THE
BEST ESTIMATE OF THE INITIAL MOTION IS 280/18.  ALL OF THE MODELS
THAT DEPEND ON THE AVN FORECAST FIELDS TURN THE DEPRESSION TO THE
NORTHWEST BY 48 HOURS.  THIS TURN IS CAUSED BY A DEVELOPING
MID-LEVEL TROUGH AHEAD OF THE SYSTEM WHICH IS FORECAST BY THE AVN. 
ON THE OTHER HAND...THE UK AND NOGAPS MODELS MAINTAIN MORE OF A 500
MB RIDGE TO THE NORTH OF THE TROPICAL CYCLONE.  THAT PATTERN WOULD
SUGGEST A WEST TO WEST NORTHWEST TRACK.  THE OFFICIAL FORECAST TRACK
IS TO THE LEFT OF MOST OF THE GUIDANCE BUT VERY CLOSE TO CLIPER.
THERE IS TIME TO ADJUST THE FORECAST TRACK MORE TO THE
NORTHWEST...IF NECESSARY.  

NOGAPS TRACKING ALGORITHM DROPS THE DEPRESSION IN 12 HOURS OR SO 
BUT AN INSPECTION OF LOW-LEVEL FIELDS FROM THE 12Z RUN...ONE CAN
OBSERVE A WEST TO WEST-NORTHWEST MOVING DISTURBANCE WHICH APPROACHES
THE LESSER ANTILLES IN 5 DAYS OR SO.   

AVILA 
 
FORECAST POSITIONS AND MAX WINDS
 
INITIAL     28/0300Z 12.5N  29.5W    25 KTS
12HR VT     28/1200Z 12.9N  32.2W    30 KTS
24HR VT     29/0000Z 13.5N  36.0W    35 KTS
36HR VT     29/1200Z 14.5N  39.0W    40 KTS
48HR VT     30/0000Z 15.5N  42.0W    45 KTS
72HR VT     31/0000Z 17.0N  47.5W    55 KTS
 
 
NNNN
"
Tropical Depression,One,4,1998-07-28T09:00:00Z,"ZCZC MIATCDAT1 ALL
TTAA00 KNHC DDHHMM
TROPICAL DEPRESSION ONE DISCUSSION NUMBER   4
NATIONAL WEATHER SERVICE MIAMI FL
5 AM EDT TUE JUL 28 1998

THE DEPRESSION HAS NOT BECOME ANY BETTER ORGANIZED...AND THE CLOUD
PATTERN REMAINS ELONGATED FROM SOUTHWEST TO NORTHEAST.  WATER VAPOR
IMAGERY SHOWS AN UPPER-LEVEL TROUGH EXTENDING FROM NEAR 30N 20W
SOUTHWESTWARD TO NEAR 20N 30W...WHICH MAY BE PARTLY RESPONSIBLE FOR
THE DISTORTION OF THE CLOUD PATTERN.  MOREOVER THE CYCLONE IS STILL 
INVOLVED WITH THE LOW-LEVEL MONSOONAL FLOW FEEDING TOWARDS WESTERN
AFRICA.  THE ABOVE TWO FACTORS MAY BE PREVENTING THE DEPRESSION FROM
STRENGTHENING AT THIS TIME.  HOWEVER...THE LATEST NCEP GLOBAL MODEL
RUN SHOWS THE UPPER TROUGH MIGRATING WEST-NORTHWESTWARD AND A MORE
ANTICYCLONIC FLOW BUILDING OVER THE AREA OF THE DEPRESSION.  ALSO AS
THE DEPRESSION MOVES FARTHER WEST IT SHOULD ESCAPE FROM THE MONSOON
TROUGH AND PERHAPS ENCOUNTER BETTER LOW-LEVEL INFLOW.  ONLY TIME
WILL TELL OF COURSE.  THE OFFICIAL INTENSITY FORECAST IS THE SAME AS
THE PREVIOUS ONE AND CALLS FOR SLOW STRENGTHENING...BUT ONE SHOULD
BEAR IN MIND THE FACT THAT WE HAVE EXCEEDINGLY LIMITED SKILL IN
INTENSITY PREDICTION.

IT IS NOT EASY TO FIX A CENTER FROM INFRARED IMAGERY...BUT THE BEST
ESTIMATE IS THAT THE FORWARD MOTION HAS SLOWED A LITTLE MORE.  THE
OFFICIAL TRACK FORECAST IS SIMILAR TO THAT FROM THE LAST ADVISORY
BUT SLIGHTLY SLOWER.  THIS IS CLOSEST TO THE SHALLOW-LAYER STEERING.

IF THE SYSTEM WERE TO STRENGTHEN SIGNIFICANTLY MORE THAN
FORECAST...IT WOULD LIKELY TURN MORE NORTHWESTWARD IN RESPONSE TO
THE HIGHER-LEVEL TROUGH TO ITS NORTH. 

PASCH
 
FORECAST POSITIONS AND MAX WINDS
 
INITIAL     28/0900Z 12.6N  30.9W    25 KTS
12HR VT     28/1800Z 13.0N  33.5W    30 KTS
24HR VT     29/0600Z 13.7N  36.5W    35 KTS
36HR VT     29/1800Z 14.5N  39.0W    40 KTS
48HR VT     30/0600Z 15.5N  41.5W    45 KTS
72HR VT     31/0600Z 17.5N  46.5W    55 KTS
 
 
NNNN
"
Tropical Depression,One,5,1998-07-28T15:00:00Z,"ZCZC MIATCDAT1 ALL
TTAA00 KNHC DDHHMM
TROPICAL DEPRESSION ONE DISCUSSION NUMBER   5
NATIONAL WEATHER SERVICE MIAMI FL
11 AM EDT TUE JUL 28 1998
 
THE INITIAL MOTION ESTIMATE IS 280/17...SAME AS LAST ADVISORY.  THE
00Z RUN OF THE AVIATION MODEL SHOWS THE DEPRESSION TURNING TOWARD
THE NORTH-NORTHWEST IN THE NEXT 3 DAYS...APPARENTLY FINDING A
WEAKNESS IN THE SUBTROPICAL HIGH PRESSURE RIDGE.  THE UKMET SHOWS
MORE OF A WEST-NORTHEWESTWARD TRACK WHILE THE NOGAPS AND GFDL MODELS
LOSE THE CIRCULATION BY 24 HOURS.  THE OFFICIAL FORECAST IS A BLEND
OF ALL OF THE GUIDANCE AND IS SIMILAR TO THE PREVIOUS ADVISORY...
CALLING FOR A SLIGHT TURN TOWARD THE WEST-NORTHWEST AND SOME
DECELERATION.

VISIBLE SATELLITE IMAGERY SHOWS A FAIRLY-WELL ORGANIZED LOW LEVEL
CIRCULATION BUT THE DEEP CONVECTION HAS DIMINISHED THIS MORNING. 
DVORAK INTENSITY ESTIMATES RANGE FROM T NUMBERS 2.0 TO 2.5.  THE
WIND SPEED IS INCREASED TO 30 KNOTS AND GRADUAL STRENGHENING IS
FORECAST AS THERE ARE NO SIGNS OF STRONG VERTICAL WIND SHEAR DURING
THE NEXT 72 HOURS.

LAWRENCE
 
FORECAST POSITIONS AND MAX WINDS
 
INITIAL     28/1500Z 12.9N  33.9W    30 KTS
12HR VT     29/0000Z 13.3N  36.5W    35 KTS
24HR VT     29/1200Z 14.2N  40.0W    40 KTS
36HR VT     30/0000Z 14.9N  42.0W    45 KTS
48HR VT     30/1200Z 15.5N  45.0W    50 KTS
72HR VT     31/1200Z 18.0N  49.0W    55 KTS
 
 
NNNN
"
Tropical Depression,One,6,1998-07-28T21:00:00Z,"ZCZC MIATCDAT1 ALL
TTAA00 KNHC DDHHMM
TROPICAL DEPRESSION ONE DISCUSSION NUMBER   6
NATIONAL WEATHER SERVICE MIAMI FL
5 PM EDT TUE JUL 28 1998
 
THE INITIAL MOTION ESTIMATE IS 280/21 AND THIS IS SOMEWHAT FASTER
THAN THE PREVIOUS ADVISORY.  THE 12Z AVIATION MODEL SHOWS THE
DEPRESSION TURNING TOWARD THE NORTH-NORTHWEST INTO A WEAKNESS IN THE
SUBTROPICAL HIGH PRESSURE RIDGE...THIS IS EXACTLY THE SAME SCENARIO
AS THE 00Z MODEL RUN AND ALL OF THE TRACK GUIDANCE MODELS ARE
SIMILAR TO THE LAST PACKAGE.  SO THE OFFICIAL FORECAST TRACK IS
SIMILAR TO THE PREVIOUS ADVISORY EXCEPT A LITTLE FASTER DURING THE
FIRST 24 HOURS FOLLOWED BY CONSIDERABLE DECELERATION.  AS
BEFORE...THE GFDL AND NOGAPS MODELS LOSE THE CIRCULATION IN 24
HOURS.

SATELLITE IMAGERY SHOWS A WELL-DEFINED LOW-LEVEL CLOUD STRUCTURE AND
DVORAK INTENSITY ESTIMATES FROM TAFB AND SAB ARE AT MINIMAL TROPICAL
STORM STRENGTH WHILE KGWC GAVE A 2.0 T NUMBER.   HOWEVER I PREFER TO
WAIT FOR THE APPEARANCE OF SOME MORE DEEP CONVECTION BEFORE
UPGRADING TO A TROPICAL STORM.  THE FORECAST...AS IN THE PREVIOUS
ADVISORY...IS FOR GRADUAL STRENGTHENING FOLLOWING THE SHIPS
STATISTICAL/DYNAMICAL INTENSITY MODEL.  

THIS SYSTEM IS FAIRLY LARGE AND THE WIND SPEED RADII IN THE
FORECAST/ADVISORY ARE INCREASED A LITTLE FROM THE PREVIOUS ADVISORY.
 
LAWRENCE
 
FORECAST POSITIONS AND MAX WINDS
 
INITIAL     28/2100Z 13.5N  36.7W    30 KTS
12HR VT     29/0600Z 14.0N  39.5W    35 KTS
24HR VT     29/1800Z 15.0N  43.0W    40 KTS
36HR VT     30/0600Z 16.0N  46.0W    45 KTS
48HR VT     30/1800Z 17.5N  48.2W    50 KTS
72HR VT     31/1800Z 20.0N  51.5W    55 KTS
 
 
NNNN
"
Tropical Storm,Alex,7,1998-07-29T03:00:00Z,"ZCZC MIATCDAT1 ALL
TTAA00 KNHC DDHHMM
TROPICAL STORM ALEX DISCUSSION NUMBER   7
NATIONAL WEATHER SERVICE MIAMI FL
11 PM EDT TUE JUL 28 1998
 
DEEP CONVECTION HAS BLOSSOMED A LITTLE THIS EVENING NEAR THE
CIRCULATION CENTER AND IN A BAND IN THE EASTERN SEMICIRCLE.  THIS
DEVELOPMENT...ALONG WITH TAFB AND SAB GIVING DVORAK TECHNIQUE
T-NUMBERS OF 2.5...SUPPORT UPGRADING THE SYSTEM TO TROPICAL STORM
ALEX WITH 35 KT WINDS.  THE SPURT IN FORWARD SPEED NOTED EARLIER
TODAY SEEMS TO HAVE ENDED AND INITIAL MOTION IS NOW ESTIMATED AT
280/18 KT.
 
WATER VAPOR IMAGERY SHOWS A LARGE CYCLONIC CIRCULATION WITH MULTIPLE
VORTICES TO THE NORTH TO NE OF THE TROPICAL STORM.  THE 12Z AVN
HAS THIS FEATURE PRIMARILY IN THE UPPER ATMOSPHERE...PERHAPS MOST
DISTINCT NEAR 300 MB.  AT 500 MB...IT SHOWS A WESTWARD RETROGRESSION
OF AN ANTICYCLONE FROM 35-40W TO 55-60W OVER THE NEXT 72 HOURS...BUT
INDICATES THAT THE HIGH WILL NOT BE STRONG ENOUGH TO PREVENT ALEX
FROM GRADUALLY ACQUIRING A GREATER NORTHWARD COMPONENT.  THE TRACK
GUIDANCE IS CONSISTENT WITH THAT IDEA...AS IS THE OFFICIAL FORECAST
WHICH IS A LITTLE TO THE LEFT OF THE PREVIOUS NHC FORECAST.  FURTHER
DECELERATION IS ALSO PREDICTED.  ALTERNATELY...THE 12Z NOGAPS SHOWS
THE RETROGRADING HIGH TO BE STRONGER...AND KEEPS THE STORM AT FAIRLY
LOW LATITUDE...LOCATED ABOUT 200 NM SOUTH OF OUR FORECAST POINT AT
72 HOURS.
 
ALTHOUGH SOME MID-LEVEL MOISTURE APPEARS TO BE HEADING NORTHEASTWARD
AWAY FROM THE CENTER...MOST FACTORS INFLUENCING INTENSITY...AS
INDICATED BY THE SHIPS INTENSITY FORECAST GUIDANCE...POINT TOWARD
STRENGTHENING.
 
A SHIP REPORT OF 10 KT 150 NM TO THE SOUTHEAST OF THE SYSTEM AT 18Z
SUGGESTS THAT THE WIND RADII ARE NOT TOO LARGE AS YET...AT LEAST IN
THAT PART OF THE CIRCULATION.
 
RAPPAPORT
 
FORECAST POSITIONS AND MAX WINDS
 
INITIAL     29/0300Z 13.8N  37.8W    35 KTS
12HR VT     29/1200Z 14.3N  40.4W    40 KTS
24HR VT     30/0000Z 15.0N  43.4W    50 KTS
36HR VT     30/1200Z 15.8N  45.9W    55 KTS
48HR VT     31/0000Z 16.8N  48.2W    60 KTS
72HR VT     01/0000Z 19.5N  51.5W    60 KTS
 
 
NNNN
"
Tropical Storm,Alex,8,1998-07-29T09:00:00Z,"ZCZC MIATCDAT1 ALL
TTAA00 KNHC DDHHMM
TROPICAL STORM ALEX DISCUSSION NUMBER   8
NATIONAL WEATHER SERVICE MIAMI FL
5 AM EDT WED JUL 29 1998

DEEP CONVECTION HAS PERSISTED NEAR THE ESTIMATED CENTER...BUT THERE
ARE NO BANDING FEATURES EVIDENT AT THIS TIME.  CURRENT INTENSITY IS
HELD AT 35 KNOTS IN ACCORDANCE WITH DVORAK ESTIMATES FROM THE
TROPICAL PREDICTION CENTER.  WATER VAPOR IMAGERY SHOWS THAT ALEX IS
MOVING INTO A COL IN THE UPPER-LEVEL FLOW...SUGGESTING A WEAK SHEAR
ENVIRONMENT.  SO...STRENGTHENING IS FORECAST AS IN THE PREVIOUS
PACKAGE.  THIS IS ALSO IN GOOD AGREEMENT WITH THE LATEST STATISTICAL
HURRICANE INTENSITY PREDICTION SCHEME...SHIPS...GUIDANCE.  

ALTHOUGH THE CYCLONE APPEARS TO HAVE A LARGE CIRCULATION ENVELOPE...
CURRENTLY THE AREA OF DEEP CONVECTION IS RELATIVELY SMALL.  THUS THE
TROPICAL STORM FORCE WIND RADII ARE NOT ESTIMATED TO BE VERY LARGE
AT THIS TIME.

THE INITIAL MOTION ESTIMATE IS NOT MUCH DIFFERENT FROM THAT IN THE
PREVIOUS ADVISORY.  THERE IS QUITE A DIFFERENCE OF OPINION IN THE
OBJECTIVE TRACK PREDICTION MODELS.  DEEP LAYER STEERING FROM THE
AVIATION MODEL SHOWS A MORE NORTHWESTWARD COURSE DEVELOPING SOON. 
THIS APPEARS TO BE DUE TO MID- TO UPPER-LEVEL VORTICITY BEING DRAWN
SOUTHWESTWARD AHEAD OF ALEX...FROM A TROUGH THAT IS NOW NORTH OF THE
STORM.  HOWEVER THE GLOBAL MODEL FORECASTS ALSO SHOW A STRONG MID-
TROPOSPHERIC HIGH NORTH OF 20N AND WEST OF 50W IN DAY OR TWO.  IF
THE ABOVEMENTIONED VORTICITY FEATURE IS NOT SO PROMINENT...THEN ALEX
MAY BE FORCED ON A MORE WESTWARD TRACK.  INDEED...THIS IS WHAT IS
SUGGESTED BY THE LATEST GFDL GUIDANCE.  FOR NOW...THE OFFICIAL
FORECAST IS SHIFTED ONLY SLIGHTLY SOUTH OF THE PREVIOUS ONE.

PASCH    
 
FORECAST POSITIONS AND MAX WINDS
 
INITIAL     29/0900Z 13.8N  39.5W    35 KTS
12HR VT     29/1800Z 14.2N  42.0W    40 KTS
24HR VT     30/0600Z 14.8N  45.0W    50 KTS
36HR VT     30/1800Z 15.5N  47.5W    55 KTS
48HR VT     31/0600Z 16.5N  50.0W    60 KTS
72HR VT     01/0600Z 19.0N  54.0W    65 KTS
 
NNNN"
Tropical Storm,Alex,9,1998-07-29T15:00:00Z,"ZCZC MIATCDAT1 ALL
TTAA00 KNHC DDHHMM
TROPICAL STORM ALEX DISCUSSION NUMBER   9
NATIONAL WEATHER SERVICE MIAMI FL
11 AM EDT WED JUL 29 1998
 
VISIBLE SATELLITE IMAGES THIS MORNING SHOWS THAT THE LOW-LEVEL
CENTER OF ALEX IS WEST OF THE LIMITED DEEP CONVECTION...AND THIS
SUGGESTS WEAKENING.  HOWEVER...WATER VAPOR IMAGERY INDICATES THAT
ALEX IS MOVING INTO A COL IN THE UPPER-LEVEL FLOW SUGGESTING A
WEAKER SHEAR ENVIRONMENT.  THIS IS CONSISTENT WITH CURRENT ANALYSES
FROM THE COOPERATIVE INSTITUTE FOR METEOROLOGICAL SATELLITE STUDIES.

THUS...STRENGTHENING IS FORECAST WITH THE INTENSIFICATION TREND FROM
THE PREVIOUS ADVISORY PRESERVED.    
 
THE INITIAL MOTION ESTIMATE REMAINS 280/17 KNOTS.  THE 12Z TRACK
GUIDANCE MODELS SHOW A BIT LESS SCATTER THAN EARLIER WITH MOST
INDICATING A GENERAL WEST-NORTHWEST COURSE AND A SLOWING IN FORWARD
SPEED BY THE END OF THE PERIOD.  THE PRIMARY QUESTION REGARDING THE
TRACK FORECAST REMAINS THE DEVELOPMENT OF AN UPPER-LEVEL LOW NEAR
25N55W WHICH WOULD IMPART A MORE NORTHERLY COMPONENT OF MOTION.
IF THIS FEATURE IS NOT SO PROMINENT...THEN ALEX MAY BE FORCED ON A
MORE WESTWARD TRACK...PER THE 06Z GFDL.  THE OFFICIAL FORECAST IS
SLIGHTLY LEFT OF THE PREVIOUS PACKAGE AND CALLS FOR A WESTWARD
HEADING THROUGH 12 HOURS FOLLOWED BY A GENERAL WEST-NORTHWEST TRACK
THEREAFTER. 

GUINEY/LAWRENCE
 
FORECAST POSITIONS AND MAX WINDS
 
INITIAL     29/1500Z 14.1N  41.3W    35 KTS
12HR VT     30/0000Z 14.6N  43.9W    40 KTS
24HR VT     30/1200Z 15.1N  46.9W    50 KTS
36HR VT     31/0000Z 15.7N  49.4W    55 KTS
48HR VT     31/1200Z 16.5N  52.0W    60 KTS
72HR VT     01/1200Z 19.5N  56.5W    65 KTS
 
 
NNNN
"
Tropical Storm,Alex,10,1998-07-29T21:00:00Z,"ZCZC MIATCDAT1 ALL
TTAA00 KNHC DDHHMM
TROPICAL STORM ALEX DISCUSSION NUMBER  10
NATIONAL WEATHER SERVICE MIAMI FL
5 PM EDT WED JUL 29 1998
 
DEEP CONVECTION HAS MADE A BIT OF A COMEBACK DURING THE DAY ALTHOUGH
IT IS NOT TERRIBLY WELL-ORGANIZED.  THE MOST INTERESTING ASPECT IS
THAT THE CONVECTION IS FORMING CLOSER TO THE CENTER SUGGESTING THAT
ALEX IS MOVING INTO A LIGHTER VERTICAL SHEAR ENVIRONMENT.  HOWEVER
...THERE IS LITTLE IN THE WAY OF OUTFLOW AND THE DRIER AIR NOTED IN
WATER VAPOR IMAGERY WEST OF ALEX IS NOT CONDUCIVE FOR STRENGTHENING.
OVERALL...THE SYSTEM DOES NOT LOOK VERY HEALTHY AND THE CURRENT
INTENSITY IS HELD AT 35 KNOTS.  THE SYSTEM IS STILL FORECAST TO
GRADUALLY STRENGTHEN WITH PROGRESSIVELY WARMER SST/S AHEAD AND
IMPROVING UPPER ENVIRONMENT. 

A NAVAL OCEANOGRAPHIC OFFICE DRIFTING BUOY LOCATED ABOUT 100 NM
WEST-NORTHWEST OF THE CENTER REPORTED A 10 METER/6 MINUTE WIND OF 
31 KNOTS AND A PRESSURE OF 1013 MB AT 18Z.  THIS IS CONSISTENT 
WITH OUR CURRENT TROPICAL STORM RADII.
  
THE CENTER HAS BEEN SOMEWHAT DIFFICULT TO LOCATE DURING THE DAY. 
CLOSE INSPECTION OF THE SATELLITE FIXES SUGGEST THE CENTER IS A 
TAD SOUTH AND IS MOVING SLIGHTLY SLOWER.  THE INITIAL MOTION
ESTIMATE IS 275/14 KNOTS.  WATER VAPOR IMAGERY SHOWS A COMPLEX
UPPER AIR PATTERN OVER THE CENTRAL ATLANTIC.  THE AVIATION MODEL
DEVELOPS A MID-TO UPPER-LEVEL LOW FURTHER NORTH THAN PREVIOUS RUNS. 
AS A RESULT...THE OBJECTIVE TRACK PREDICTION MODELS SHOW A GENERAL
WESTERLY TRACK THROUGH 36 HOURS...FOLLOWED BY A MORE WEST-NORTHWEST
COURSE.  THE GFDL AND NOGAPS ARE THE SOUTHERN-MOST TRACKS.  WHILE
THERE IS STILL UNCERTAINTY ON THE EVOLUTION OF THE UPPER FEATURES
THE OFFICIAL FORECAST TRACK IS SHIFTED SLIGHTLY LEFT OF THE LAST
ADVISORY. 

GUINEY/LAWRENCE
 
FORECAST POSITIONS AND MAX WINDS
 
INITIAL     29/2100Z 13.9N  41.9W    35 KTS
12HR VT     30/0600Z 14.1N  44.2W    40 KTS
24HR VT     30/1800Z 14.5N  47.1W    50 KTS
36HR VT     31/0600Z 15.3N  49.7W    55 KTS
48HR VT     31/1800Z 16.0N  52.0W    60 KTS
72HR VT     01/1800Z 18.0N  56.5W    65 KTS
 
NNNN
"
